circuit_name,TNF,IL2RG,NFKB1,CSF3R,CD52,LCK,ALOX5,BTK,IFNAR2,TYK2,PSMB8,CD247,CSF2RB,ITGAL,PIK3CD,IL2RB,SLAMF7,SCN8A,TUBB3,CHRNA4,CACNA1B,SLC12A5,KCNC1,CHRNB2,HRH3,IL1B,CD3E,PSMB10,SYK,C5AR1,TGFB1,PSMB9,CNR2,JAK3,DGAT2,NPR1,TFPI,AOC3,VDR,TYMP,CACNA1C,PLAT,CACNA1S,RYR1,SCN1B,CD4,KCNA3,BST1,FCER1G,ABAT,SCN2A,IFNG,VKORC1L1,AGTR1,VWF,ICAM1,FCGR2A,FCGR3B,SLC5A1,HBA1,VEGFA,EGFR,PTAFR,LTA,HBB,PIK3CG,ANXA2,TNFRSF1A,AHR,IL1R1,NNMT,HCAR2,HCAR3,NOD2,GHR,SCN4A,LPL,PPARG
MAPK signaling pathway: ATF4,0.6039853175162585,0.3938295689032417,1.0,0.3584053583745848,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.36012410245363036,-0.5143291926156235,-0.37394802846701025,-0.7158144550748692,-0.7526224486557648,-0.7538884629509637,-0.6405227377664178,-0.6119454867711831,-0.539428112107004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.3779193559510953,0.36566312426684977,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.8514700367168169,0.6610649973547712,0.3882858427003304,0.4087672256585173,0.4285203085076132,0.5927609466709727,0.39050763451468895,0.4308666843455694,0.44995699236674935,0.6618827693078821,0.0,0.0
MAPK signaling pathway: ELK4,0.5253138116605853,0.4907270100498664,1.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.5739809770539798,0.5573135007806607,-0.47195863433700974,-0.440580555952102,-0.6913723539139438,-0.7666989345730697,-0.7719343013138781,-0.6681320480567285,-0.6458894242721045,-0.5474432097094999,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.38837329112292396,0.0,0.0,0.0,0.3925195269538193,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.8699741758355679,0.6583265801007303,0.41155008872575477,0.42891508956827157,0.4179715658621437,0.8358265052408996,0.5344974122216517,0.5322090451557986,0.4658396618223431,0.6454709941179256,0.0,0.40537039170184763
MAPK signaling pathway: NFATC3,0.7363993591691568,0.4376673731141457,0.539356433764846,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.5217778830939152,-0.4298932432251772,-0.4118738433967327,-0.4866546505005985,-0.4520659428403315,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.4521983653258505,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.6596478622700123,0.7893197866389614,1.0,0.5432189203046489
Type II diabetes mellitus: SLC2A4,0.23006999337480696,-0.0,0.22406175138154077,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.2006394755043572,-0.0,-0.0,-0.0,-0.2626547262954474,-0.0,-0.17931331642584397,-0.20145452070665404,-0.20272115874951477,-0.1613618545209022,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.4331256660391614,0.20242848906219735,0.0,0.21455075934593756,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.23285108651866276,0.15986986872355366,0.17852605670998944,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.18021066301064692,0.0,0.0,0.0,0.0,0.3068326601124308,0.0,-0.0,0.5673033877145082,0.5969538759769427,1.0,0.7390743847174819
NF-kappa B signaling pathway: IL1B*,1.0,0.7363875031538122,0.0,0.4929749924849578,0.3484865208184049,0.40431570346078766,0.3977192249794515,0.3529274560235266,0.23152506510723658,0.2997484940067094,0.1449472447926539,0.20583631046512543,0.25450720572878327,0.618880989303062,0.5326267428581235,0.4254055861698968,0.2919331654630742,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.29906445597203224,0.11555171986387965,0.1073852278129216,0.17621080030101546,0.2021670218998882,0.19307134228344314,0.15637533343388219,0.14779893506147918,0.19942361192167915,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.1111363293255893,-0.11385707191693407,-0.0,-0.0,-0.0,0.0,0.0,0.14289917346511397,0.1302911346887859,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.1073227106985549,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.13829884920583502,0.11683761107789979,0.0,-0.0,-0.0,-0.0,0.0
NF-kappa B signaling pathway: CXCL8,1.0,0.6969021975827777,0.1149611975784767,0.5020739880933489,0.3404160527371854,0.38745726321433555,0.39531179185594145,0.28744527871052306,0.17317430583350465,0.2456564131092136,0.13361022851652146,0.22770597338099838,0.21241002636150397,0.6013275272816531,0.46999865938024016,0.4374966917156113,0.29680382189685167,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.21721376549849764,0.0,0.0,0.0,0.1719593834348047,0.17401426864662473,0.10986752317851746,0.0,0.17612531451579208,-0.0,0.0,-0.0,0.0,0.0,0.11005293328057669,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.11069368289826302,0.0,-0.0,0.15078697379768788,-0.0,-0.0,0.0,0.12801186328284908,0.0,0.0,-0.0,0.1134756642211095,0.1426717442240047,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16835252578254495,0.15981051584517575,0.0,0.0,0.0,0.0,0.0
NF-kappa B signaling pathway: BCL2A1*,1.0,0.9578752350779461,0.0,0.6226030213072564,0.523021779753336,0.5598410755639653,0.538288508297692,0.5055407653791795,0.31370579674322524,0.4131872771194562,0.18618223606007742,0.28339234596561375,0.311273563906696,0.8722031314535842,0.7568019604537315,0.5094659360385949,0.34244995835368447,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.19623451855545163,0.1326206332234036,0.12997777890628157,0.21070018154985604,0.22568484022178928,0.21122320499213706,0.21177947856459153,0.2021677237816572,0.26375041128117305,0.0,-0.0,-0.0,0.0,0.0,0.12187666539003883,-0.15959254908494647,-0.14186489072364306,-0.0,-0.0,-0.0,0.12466492988149927,0.0,0.16054205592348186,0.15754359028368134,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.126055803754055,0.1423503094092874,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1755951513342632,0.16211629326803934,0.0,0.0,0.0,0.0,0.0
NF-kappa B signaling pathway: BCL2,0.9563717770593901,1.0,0.17027896505638984,0.35092923525307496,0.5177984121648128,0.6666912411863717,0.44961787047415075,0.47668894623691094,0.2804904028704125,0.38275883538651634,0.16421142502092775,0.30391729570493153,0.2992340677020928,0.8392561319616723,0.749624326109325,0.6417843249547456,0.4170458491128244,-0.12859223261722577,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1368976633169251,0.15799555522432715,0.0,0.17471260812324158,0.12191804520942241,0.0,0.19781750586017371,0.25475122978024906,0.23568895795989458,0.0,0.0,-0.0,0.0,0.0,0.0,-0.13102311348189055,-0.1340902571839372,-0.0,0.0,-0.0,0.12504610600875296,0.13337132863610993,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348990780793076,0.0,0.0,0.1515067536322346,0.0,0.0,0.0,0.0,0.0,0.13004598166247308
NF-kappa B signaling pathway: XIAP,1.0,0.9221010552292099,0.14503175553532457,0.4135982546978994,0.46650336928009567,0.5289407544524506,0.4368141095466717,0.40497161587828007,0.24868372589389992,0.3372207829213276,0.19660670618341308,0.2697178508715645,0.28109359879153306,0.7481766602014962,0.6390119020142295,0.5950600890303637,0.4264941538634273,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1666834486266813,0.14370495333949804,0.10799423290291237,0.1767507664933969,0.15377923384054876,0.13634313215853874,0.1715720029335812,0.19939656778526646,0.20767350962757417,0.0,0.0,-0.0,0.0,0.0,0.0,-0.11762949016064803,-0.11406597890103809,-0.0,0.0,-0.0,0.12302982170625855,0.1098716751717677,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10861249147384118,0.0,0.0,0.15751477638687514,0.11736357823610709,0.0,0.0,0.0,-0.0,0.0
NF-kappa B signaling pathway: BIRC2,1.0,0.9124023273429344,0.15599094488662052,0.37084638195156,0.46714449507211564,0.5567460946698014,0.42171193796794465,0.4123667409278977,0.24984860893065816,0.3371001605204682,0.19661766332826275,0.26895672120528247,0.27399734362229,0.7537628193279307,0.6509578625045221,0.579239178209079,0.40159082947744573,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.15800696911208295,0.14211791988691747,0.11124868718077778,0.1635509557139856,0.1272277061935132,0.11374439393381755,0.1743811344152431,0.20650692300957632,0.2142407298899339,0.0,0.0,-0.0,0.0,0.0,0.0,-0.12049731063412818,-0.11362891978391944,-0.0,-0.0,-0.0,0.11341654303160412,0.11613785487669347,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10848280509199179,0.0,0.0,0.14313874914515606,0.10650811581634269,0.0,0.0,0.0,-0.0,0.0
